Time,Temperature,Pressure,Sound,Light,Pressure,Humidity,Comment
s,°C,kPa,dBA,lx,kPa,%RH,

0,10.9,96.8,41.5,81,97.18,57.2,
0.96,10.8,96.8,40.0,88,97.18,57.2,
1.92,10.8,96.8,54.8,107,97.18,57.1,
2.88,10.8,96.7,58.7,120,97.18,57.1,
3.84,10.8,96.8,67.9,123,97.14,57.1,
4.8,10.8,96.8,68.0,116,97.12,57.1,
5.76,10.8,96.8,72.4,117,97.17,57.0,
6.72,10.8,96.8,57.1,108,97.19,57.0,
7.68,10.8,96.8,40.0,110,97.19,57.0,
8.64,10.8,96.7,76.7,112,97.17,57.0,
9.6,10.8,96.8,83.9,111,97.17,57.0,
10.56,10.8,96.8,40.6,113,97.16,57.0,
11.52,10.8,96.7,51.2,116,97.16,57.0,
12.48,10.8,96.8,74.7,117,97.20,57.0,
13.44,10.8,96.8,63.7,119,97.18,57.0,
14.4,10.8,96.8,42.1,101,97.13,57.0,
15.36,10.8,96.8,58.0,118,97.18,56.9,
16.32,10.8,96.8,74.9,121,97.17,56.9,
17.28,10.8,96.8,40.0,134,97.20,56.9,
18.24,10.8,96.8,57.1,136,97.18,56.9,
19.2,10.8,96.8,75.4,135,97.15,56.9,
20.16,10.8,96.8,49.8,122,97.16,56.9,
21.12,10.8,96.8,66.1,95,97.17,56.9,
22.08,10.8,96.8,67.2,68,97.18,56.9,
23.04,10.8,96.7,66.4,50,97.14,56.9,
24,10.8,96.8,83.3,87,97.18,56.9,
24.96,10.8,96.8,40.0,99,97.17,56.9,
25.92,10.8,96.8,78.9,99,97.17,56.9,
26.88,10.8,96.8,73.9,105,97.19,56.9,
27.84,10.8,96.8,63.9,115,97.19,56.9,
28.8,10.8,96.8,42.3,122,97.18,56.9,
29.76,10.8,96.8,69.2,131,97.17,56.9,
30.72,10.8,96.8,75.9,135,97.18,56.9,
31.68,10.8,96.8,75.2,136,97.17,56.9,
32.64,10.8,96.8,40.0,131,97.14,56.9,
33.6,10.8,96.8,64.7,107,97.16,56.9,
34.56,10.8,96.8,79.9,81,97.17,56.9,
35.52,10.8,96.8,74.2,79,97.16,56.9,
36.48,10.8,96.8,67.8,84,97.18,56.9,
37.44,10.8,96.8,72.0,105,97.17,56.9,
38.4,10.8,96.8,58.6,119,97.16,56.9,
39.36,10.8,96.7,68.5,133,97.19,56.9,
40.32,10.8,96.8,65.1,135,97.17,56.9,
41.28,10.8,96.8,73.9,128,97.13,56.9,
42.24,10.8,96.8,42.9,124,97.18,56.9,
43.2,10.8,96.8,63.2,133,97.16,56.9,
44.16,10.8,96.8,64.1,131,97.16,56.9,
45.12,10.8,96.8,40.0,132,97.19,56.9,
46.08,10.8,96.8,40.0,126,97.16,56.9,
47.04,10.8,96.8,65.6,107,97.16,56.9,
48,10.8,96.8,67.1,101,97.17,56.9,
48.96,10.8,96.8,66.7,91,97.13,56.9,
49.92,10.8,96.8,72.1,95,97.15,56.9,
50.88,10.8,96.8,54.8,111,97.16,56.9,
51.84,10.8,96.8,40.0,123,97.16,56.9,
52.8,10.8,96.8,76.2,111,97.17,56.9,
53.76,10.8,96.8,71.0,102,97.17,56.9,
54.72,10.8,96.8,40.5,89,97.14,56.9,
55.68,10.8,96.8,83.4,87,97.17,56.9,
56.64,10.8,96.8,43.3,91,97.18,56.9,
57.6,10.8,96.8,54.7,97,97.16,56.8,
58.56,10.8,96.8,53.9,101,97.18,56.8,
59.52,10.8,96.8,76.1,103,97.16,56.8,
60.48,10.8,96.8,67.0,60,97.18,56.8,
61.44,10.8,96.8,59.4,11,97.18,56.9,
62.4,10.8,96.8,62.2,5,97.16,56.9,
63.36,10.8,96.8,71.0,4,97.15,56.9,
64.32,10.8,96.8,42.3,4,97.19,57.0,
65.28,10.8,96.8,77.6,4,97.18,57.0,
66.24,10.8,96.8,78.5,12,97.17,57.1,
67.2,10.8,96.8,79.2,91,97.17,57.1,
68.16,10.8,96.8,77.7,105,97.16,57.2,
69.12,10.8,96.8,45.2,104,97.16,57.2,
70.08,10.8,96.8,67.4,65,97.15,57.2,
71.04,10.8,96.8,47.2,48,97.19,57.3,
72,10.8,96.8,40.0,47,97.19,57.3,
72.96,10.8,96.8,65.0,46,97.20,57.4,
73.92,10.8,96.8,42.6,47,97.13,57.4,
74.88,10.8,96.8,69.7,92,97.17,57.5,
75.84,10.8,96.8,40.0,114,97.17,57.6,
